timestamp,open,high,low,close,volume
2025-05-09 19:55:00,248.6800,249.4500,248.6800,249.4500,4
2025-05-09 19:50:00,248.6800,248.6800,248.6800,248.6800,1
2025-05-09 19:40:00,249.0000,250.5000,249.0000,249.5900,62
2025-05-09 19:25:00,249.0000,250.5000,249.0000,250.5000,5
2025-05-09 19:20:00,249.4500,249.4500,249.4500,249.4500,5
2025-05-09 19:15:00,250.5000,250.5000,249.4500,249.4500,12
2025-05-09 19:10:00,249.1500,249.2000,249.1500,249.2000,40
2025-05-09 19:05:00,249.4500,249.4500,249.4500,249.4500,1
2025-05-09 19:00:00,249.2000,249.2000,249.0000,249.0000,410341
2025-05-09 18:55:00,248.7300,248.7300,248.7300,248.7300,10
2025-05-09 18:50:00,249.4500,249.4500,249.4500,249.4500,2
2025-05-09 18:40:00,249.0000,250.5000,249.0000,249.4500,8
2025-05-09 18:30:00,249.2000,249.2000,248.7843,248.7843,410346
2025-05-09 18:25:00,236.2200,249.6500,236.2200,249.3000,133
2025-05-09 18:20:00,248.7580,249.6500,248.7580,249.4500,80
2025-05-09 18:15:00,249.4500,249.4500,248.8500,248.8500,702
2025-05-09 18:05:00,248.7300,248.7300,248.7300,248.7300,2
2025-05-09 18:00:00,249.1800,249.1800,249.1800,249.1800,10
2025-05-09 17:55:00,249.1200,249.1200,249.1200,249.1200,6
2025-05-09 17:50:00,249.0120,249.0120,249.0120,249.0120,10
2025-05-09 17:45:00,249.3300,249.4420,248.7530,248.7530,41
2025-05-09 17:40:00,249.3300,249.3300,249.3300,249.3300,1
2025-05-09 17:30:00,249.6500,249.6500,249.1200,249.1200,2
2025-05-09 17:20:00,249.1300,249.2000,249.1200,249.2000,1355
2025-05-09 17:15:00,249.1200,249.6500,249.1200,249.6500,23
2025-05-09 17:10:00,249.1900,249.1900,249.0100,249.1200,13
2025-05-09 17:05:00,249.1700,249.2000,249.0000,249.0317,106
2025-05-09 16:50:00,248.7300,249.6500,248.7300,249.3300,5
2025-05-09 16:45:00,249.1700,249.1700,249.1700,249.1700,1
2025-05-09 16:40:00,249.6500,249.6500,249.6500,249.6500,8
2025-05-09 16:35:00,249.3300,249.3300,249.3300,249.3300,1
2025-05-09 16:30:00,248.7300,248.7300,248.7300,248.7300,16
2025-05-09 16:25:00,249.2000,249.4000,248.7300,248.7300,4118
2025-05-09 16:20:00,249.2000,249.2000,249.1900,249.1900,38211
2025-05-09 16:15:00,249.2000,249.2300,249.2000,249.2300,8
2025-05-09 16:10:00,249.2000,249.6500,249.1000,249.1000,415606
2025-05-09 16:05:00,249.2000,249.2700,248.6800,249.2700,408
2025-05-09 16:00:00,249.1000,249.6500,248.8500,248.8500,898028
2025-05-09 15:55:00,249.4000,249.4100,248.8800,249.1000,163557
2025-05-09 15:50:00,249.3400,249.5500,249.1000,249.4350,105295
2025-05-09 15:45:00,249.2650,249.3400,248.9650,249.2900,49969
2025-05-09 15:40:00,249.0151,249.3500,249.0100,249.2600,49730
2025-05-09 15:35:00,249.2400,249.3487,248.9350,249.0050,21344
2025-05-09 15:30:00,249.3200,249.3750,249.0050,249.2400,36787
2025-05-09 15:25:00,249.5125,249.6000,249.3100,249.3100,17509
2025-05-09 15:20:00,249.4100,249.5100,249.2100,249.5100,32112
2025-05-09 15:15:00,249.2350,249.4457,249.1650,249.4100,33038
2025-05-09 15:10:00,249.2425,249.2600,249.0778,249.2350,42716
2025-05-09 15:05:00,248.8814,249.2599,248.8500,249.2599,63083
2025-05-09 15:00:00,248.8400,248.9600,248.8000,248.8850,23245
2025-05-09 14:55:00,248.8850,248.9400,248.7900,248.8500,13947
2025-05-09 14:50:00,248.8900,248.9300,248.8200,248.9300,16693
2025-05-09 14:45:00,248.8400,248.9300,248.7800,248.8400,19638
2025-05-09 14:40:00,248.8700,248.9300,248.7900,248.8400,14900
2025-05-09 14:35:00,248.7750,248.9500,248.7200,248.8400,23634
2025-05-09 14:30:00,248.5760,248.8000,248.5500,248.7301,12527
2025-05-09 14:25:00,248.6000,248.7800,248.5731,248.5731,11570
2025-05-09 14:20:00,248.4500,248.6700,248.4250,248.6300,10130
2025-05-09 14:15:00,248.4100,248.5800,248.3200,248.5000,18140
2025-05-09 14:10:00,248.3200,248.4500,248.2801,248.3700,15337
2025-05-09 14:05:00,248.4000,248.4700,248.3100,248.3450,10563
2025-05-09 14:00:00,248.6200,248.6800,248.3800,248.3800,14048
2025-05-09 13:55:00,248.5500,248.7100,248.4800,248.6300,19862
2025-05-09 13:50:00,248.5600,248.5600,248.2600,248.5000,16353
2025-05-09 13:45:00,248.5104,248.6600,248.4600,248.4600,21081
2025-05-09 13:40:00,248.3900,248.6500,248.3400,248.5150,13345
2025-05-09 13:35:00,248.3300,248.5329,248.2600,248.3910,14586
2025-05-09 13:30:00,248.3800,248.4700,248.1200,248.2700,19136
